leftmoney,Right,rightmoney,Left,leftmoney1,rightmoney1,Left1,Right1,Loop.thisRepN,Loop.thisTrialN,Loop.thisN,Loop.thisIndex,Loop2.thisRepN,Loop2.thisTrialN,Loop2.thisN,Loop2.thisIndex,questions.thisRepN,questions.thisTrialN,questions.thisN,questions.thisIndex,spacebar.keys,spacebar.rt,responses.keys,responses.rt,response1.keys,response1.corr,response1.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,rating.history,rating_2.response,rating_2.rt,rating_3.response,rating_3.rt,rating_4.response,rating_4.rt,rating_6.response,rating_6.rt,rating_7.response,rating_7.rt,rating_8.response,rating_8.rt,rating_9.response,rating_9.rt,rating_5.response,rating_5.rt,expName,participant,age,frameRate,sex,session,date,
,,,,0.04,0.01,"Getting retweeted by 
a celebrity","Planning a surprise 
party for a family member",,,,,0,8,8,4,,,,,,,,,2,0,1.28468518564,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.01,0.03,"Getting likes on a 
Facebook status","Going on a first date 
to the movies",,,,,0,9,9,20,,,,,,,,,1,0,1.40073716501,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.02,0.02,"Working on a group
project with classmates","Getting likes on an
Instagram picture",,,,,0,10,10,17,,,,,,,,,2,0,2.60184984747,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.05,0.01,Posting Instagram stories,"Making cookies to 
give to a friend",,,,,0,11,11,8,,,,,,,,,2,0,1.21765332669,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.05,0.02,"Eating dinner at a 
restaurant with family","Eating dinner at a
restaurant with friends ",,,,,0,12,12,14,,,,,,,,,2,0,1.26756201312,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.02,0.04,"Going to a bar 
with friends","Getting a slice of 
pizza with a friend",,,,,0,13,13,10,,,,,,,,,1,0,2.55135427834,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.05,0.03,"Going to a street fair
with friends",Having a Tweet go viral,,,,,0,14,14,15,,,,,,,,,2,0,1.0678181015,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.03,0.03,"Celebrating holidays 
with family","Talking to a friend 
over Skype",,,,,0,15,15,12,,,,,,,,,2,0,2.70199720562,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.01,0.05,"Getting drinks 
with co-workers","Playing icebreakers
with classmates",,,,,0,16,16,19,,,,,,,,,1,0,1.1845145016,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.02,0.01,Going on a blind date,"Going to a coffee 
shop with friends",,,,,0,17,17,9,,,,,,,,,2,0,1.15131969377,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.04,0.02,"Baking cookies for
a neighbor","Getting tagged in 
Instagram pictures",,,,,0,18,18,11,,,,,,,,,2,0,1.08501996053,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.03,0.02,"Getting ice cream
with friends","Going sight-seeing
with family",,,,,0,19,19,24,,,,,,,,,2,0,2.63480424182,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.01,0.05,"Playing videogames 
with friends","Taking your friend 
on a cruise",,,,,0,20,20,6,,,,,,,,,1,0,1.68398888782,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.05,0.02,"Sleeping over at 
a friend's house","Taking your friend 
to the spa",,,,,0,21,21,1,,,,,,,,,2,0,0.967890630011,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.02,0.03,"Getting verified on 
Instagram","Playing ping-pong
with friends",,,,,0,22,22,22,,,,,,,,,1,0,1.08458671859,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.01,0.02,"Learning to drive 
with a family member","Going dancing with
a significant other",,,,,0,23,23,21,,,,,,,,,1,0,0.767955756281,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,0.03,0.04,"Going to a music
festival with friends","Buying flowers for 
a significant other",,,,,0,24,24,5,,,,,,,,,1,0,1.90103418287,,,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.01970645273,,,,,,,,,,,,,,,,,,,,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,6,33.243,"[(None, 0.0), (7, 23.923), (6, 30.709), (6, 33.243)]",4,7.986,3,6.77,6,4.268,4,4.001,6,5.403,3,4.887,2,5.368,5,3.252,newer wtp,wtp22,18,59.9673240799,m,001,2018_Apr_18_1109,
