choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Going to a bar 
with friends",0,49,49,35,,,,,,,140.1235426718922,None,$0.03,1.986,0.024975880965939723,None,None,140.1235426718922,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Walking around Central 
Park with family",0,50,50,13,,,,,,,142.190458936675,None,$0.01,3.478,0.041571211666450836,None,None,142.190458936675,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Looking at your friend's Snapchat stories,0,51,51,4,,,,,,,145.72499566136685,None,$0.01,2.309,0.028717364664771594,None,None,145.72499566136685,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Going to a karaoke
bar with friends",0,52,52,43,,,,,,,148.09243641809735,None,$0.01,2.685,0.03979874985816423,None,None,148.09243641809735,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Making cookies with your partner,0,53,53,8,,,,,,,150.8431332422333,None,$0.02,2.048,0.0348157031548908,None,None,150.8431332422333,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Sharing Youtube videos with your partner,0,54,54,9,,,,,,,152.96017450305226,None,$0.01,1.754,0.03551983607758302,None,None,152.96017450305226,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Taking your friend 
on a cruise",0,55,55,6,,,,,,,154.77763177455927,None,$0.03,2.737,0.033421121872379445,None,None,154.77763177455927,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Posting Instagram stories,0,56,56,33,,,,,,,157.57819980829663,None,$0.01,2.172,0.03555777964356821,None,None,157.57819980829663,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Direct messaging friends on Instagrams,0,57,57,28,,,,,,,159.79678052014788,None,$0.01,3.25,0.027435680996859446,None,None,159.79678052014788,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
Getting a lot of comments on your Instagram post,0,58,58,41,,,,,,,163.1149686716817,None,$0.01,2.748,0.03745464656094555,None,None,163.1149686716817,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
"Getting a slice of 
pizza with a friend",0,59,59,10,,,,,,,165.93079468118958,None,$0.01,2.658,0.03201503310992848,None,None,165.93079468118958,None,,,,,,,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
,,,,,,,,,,,,,,,,,,,,168.59837738414353,169.5987179431395,space,4.73615293369221,168.59837738414353,None,0,001,2019_Nov_20_0938,choiceText,3.1.2,59.982613207141384,
