selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,12,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,13,13,0,0,0,0,0,,,,,,,,,,,,,151.7894370987292,153.78904272851923,151.7894370987292,153.78904272851923,1,0.5074437377088543,151.7894370987292,153.78904272851923,153.80570486988108,None,155.80614433763049,157.79022552813103,155.80614433763049,156.78977984003131,156.8064649966891,157.79022552813103,157.806922192437,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,14,14,19,0,0,0,0,,,,,,,,,,,,,159.79276405309292,161.79140272942732,159.79276405309292,161.79140272942732,2,1.936019964836305,159.79276405309292,161.79140272942732,161.80810281492631,None,163.80868566175013,165.7926007688975,163.80868566175013,164.79229534969727,164.80901534031682,165.7926007688975,165.80931982646462,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,14,14,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,15,15,4,0,0,0,0,,,,,,,,,,,,,167.7951128573709,169.79382275671605,167.7951128573709,169.79382275671605,1,1.6376272722550311,167.7951128573709,169.79382275671605,169.8105141337246,None,171.81108049662043,173.7950257724665,171.81108049662043,172.7946519294128,172.81143505658792,173.7950257724665,173.81173021221048,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,15,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,16,16,6,0,0,0,0,,,,,,,,,,,,,175.79747192522655,177.79623314246192,175.79747192522655,177.79623314246192,2,1.7711956104230921,175.79747192522655,177.79623314246192,177.81292887371546,None,179.81348932727815,181.79743491414183,179.81348932727815,180.79707195670153,180.81372383448524,181.79743491414183,181.81408026055806,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,16,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,17,17,21,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,183.7998294379945,185.798645083295,183.7998294379945,185.798645083295,1,183.7998294379945,185.798645083295,185.815329617918,None,187.81585026123912,189.79984281174757,187.81585026123912,188.79952837303927,188.81625458400913,189.79984281174757,189.81653107858074,None,1.520727606816763,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,17,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,18,18,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,191.8021483845905,193.80104365037505,191.8021483845905,193.80104365037505,2,191.8021483845905,193.80104365037505,193.8177316061906,None,195.8182873944911,197.8022528864758,195.8182873944911,196.80194529015262,196.81863044681086,197.8022528864758,197.81892653548584,None,1.4063123492928753,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,18,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,19,19,8,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,199.80348171667993,201.80345683527867,199.80348171667993,201.80345683527867,1,199.80348171667993,201.80345683527867,201.82013110632352,None,203.82068782767647,205.80464087896007,203.82068782767647,204.8043146215864,204.82104300967922,205.80464087896007,205.82131452797012,None,1.2848727611794857,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,20,20,7,0,0,0,0,,,,,,,,,,,,,207.80588308291772,209.80584265064044,207.80588308291772,209.80584265064044,2,1.0023251669467754,207.80588308291772,209.80584265064044,209.82250448098466,None,211.82309945749194,213.80705002063587,211.82309945749194,212.80672314122694,212.82337844020367,213.80705002063587,213.82369661112216,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,20,20,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,21,21,13,0,0,0,0,,,,,,,,,,,,,215.80921470254452,217.80825179231624,215.80921470254452,217.80825179231624,1,0.822973184381226,215.80921470254452,217.80825179231624,217.82491175655514,None,219.82550548899235,221.80945356399616,219.82550548899235,220.8091105116764,220.82578820391427,221.80945356399616,221.82611104009538,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,21,21,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,22,22,22,0,0,0,0,,,,,,,,,,,,,223.82670166235766,225.8106512924487,223.82670166235766,225.8106512924487,2,1.79735311653576,223.82670166235766,225.8106512924487,225.827314366863,None,227.82786922211108,229.8118499539537,227.82786922211108,228.81149632703864,228.8282383999017,229.8118499539537,229.82851054022785,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,23,23,5,0,0,0,0,,,,,,,,,,,,,231.82911546929563,233.8130532807213,231.82911546929563,233.8130532807213,2,1.5148409782996168,231.82911546929563,233.8130532807213,233.82970920173284,None,235.8303079104503,237.81426407190975,235.8303079104503,236.81389676022354,236.83064069919237,237.81426407190975,237.83092123699134,None,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
1,0,23,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,24,24,15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,239.8315078160258,241.81547268597524,239.8315078160258,241.81547268597524,1,239.8315078160258,241.81547268597524,241.8321332722494,None,243.83273042587916,245.81666419407748,243.83273042587916,244.81635815284199,244.83305170697304,245.81666419407748,245.83334095326245,None,1.3283617183469687,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
2,0,24,24,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.8172184272903,None,space,12.366384231660504,247.8172184272903,None,004,001,2020_Jan_07_1246,Experiment1,3.1.2,60.95520571479405,
