choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Listening to a podcast,nonsocial,0,0,6,6,102,,,,,,,,,,,,,,,,,,,,,,,,,143.85876906872727,None,$.04,2.066,0.026006189873442054,None,None,143.85876906872727,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Going on a blind date,social,1,0,7,7,34,,,,,,,,,,,,,,,,,,,,,,,,,146.00786154088564,None,$.03,3.748,0.03782913612667471,None,None,146.00786154088564,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Direct messaging your crush on Snapchat,social Media,2,0,8,8,54,,,,,,,,,,,,,,,,,,,,,,,,,149.80869618221186,None,$.03,2.87,0.036049194051884115,None,None,149.80869618221186,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a karaoke
bar with friends",social,1,0,9,9,43,,,,,,,,,,,,,,,,,,,,,,,,,152.7597382866079,None,$.02,4.111,0.039324188022874296,None,None,152.7597382866079,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Having hundreds of friends on Facebook,social Media,2,0,10,10,59,,,,,,,,,,,,,,,,,,,,,,,,,156.92744410817977,None,$0,3.119,0.03319375996943563,None,None,156.92744410817977,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Exercising from home,nonsocial,0,0,11,11,71,,,,,,,,,,,,,,,,,,,,,,,,,160.09520995570347,None,$.04,2.067,0.023913366021588445,None,None,160.09520995570347,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Playing with a pet,nonsocial,0,0,12,12,87,,,,,,,,,,,,,,,,,,,,,,,,,162.21253529633395,None,$0,4.167,0.025991261121816933,None,None,162.21253529633395,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Going to a coffee shop with friends,social,1,0,13,13,58,,,,,,,,,,,,,,,,,,,,,,,,,166.44688304851297,None,$.05,2.537,0.03712686290964484,None,None,166.44688304851297,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Becoming "InstaFamous",social Media,2,0,14,14,36,,,,,,,,,,,,,,,,,,,,,,,,,169.0478858249262,None,$0,2.126,0.029005001997575164,None,None,169.0478858249262,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Going out to dinner with friends,social,1,0,15,15,3,,,,,,,,,,,,,,,,,,,,,,,,,171.23181204206776,None,$.05,1.812,0.028155929525382817,None,None,171.23181204206776,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Watching YouTube
videos",nonsocial,0,0,16,16,81,,,,,,,,,,,,,,,,,,,,,,,,,173.09889300225768,None,$.05,1.593,0.03153293672949076,None,None,173.09889300225768,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going on vacation 
by yourself",nonsocial,0,0,17,17,94,,,,,,,,,,,,,,,,,,,,,,,,,174.74957087624352,None,$.03,1.916,0.0393627539742738,None,None,174.74957087624352,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Snapchat your friends to keep your "Snapstreaks",social Media,2,0,18,18,51,,,,,,,,,,,,,,,,,,,,,,,,,176.73514783964492,None,$.05,3.5,0.0395670912694186,None,None,176.73514783964492,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Rearranging furniture 
in your house",nonsocial,0,0,19,19,100,,,,,,,,,,,,,,,,,,,,,,,,,180.30125497898553,None,$0,2.722,0.03382947575300932,None,None,180.30125497898553,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Taking classes with a friend,social,1,0,20,20,25,,,,,,,,,,,,,,,,,,,,,,,,,183.08520365145523,None,$.05,1.702,0.03530897689051926,None,None,183.08520365145523,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Direct messaging friends on Instagrams,social Media,2,0,21,21,28,,,,,,,,,,,,,,,,,,,,,,,,,184.8524794006953,None,$.05,2.251,0.03468041436281055,None,None,184.8524794006953,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a bar 
with friends",social,1,0,22,22,35,,,,,,,,,,,,,,,,,,,,,,,,,187.1699628615752,None,$.05,1.393,0.02727046818472445,None,None,187.1699628615752,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Taking a family member
 on a shopping trip",social,1,0,23,23,0,,,,,,,,,,,,,,,,,,,,,,,,,188.62005403579678,None,$.05,2.423,0.034743550582788885,None,None,188.62005403579678,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Listening to music
by yourself",nonsocial,0,0,24,24,82,,,,,,,,,,,,,,,,,,,,,,,,,191.10412335128058,None,$.05,1.071,0.0342191782547161,None,None,191.10412335128058,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Watching a new 
episode of a television 
show",nonsocial,0,0,25,25,97,,,,,,,,,,,,,,,,,,,,,,,,,192.23779131658375,None,$.05,1.124,0.028475964558310807,None,None,192.23779131658375,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Viewing videos and photos on Instagram's Explore page,social Media,2,0,26,26,39,,,,,,,,,,,,,,,,,,,,,,,,,193.43816186056938,None,$.05,2.157,0.0420405981130898,None,None,193.43816186056938,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Looking at your Facebook feed,social Media,2,0,27,27,55,,,,,,,,,,,,,,,,,,,,,,,,,195.6394999739714,None,$.02,2.483,0.024524200591258705,None,None,195.6394999739714,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Celebrating holidays 
with family",social,1,0,28,28,37,,,,,,,,,,,,,,,,,,,,,,,,,198.18961158196907,None,$.05,1.97,0.03650109958834946,None,None,198.18961158196907,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting a slice of 
pizza with a friend",social,1,0,29,29,10,,,,,,,,,,,,,,,,,,,,,,,,,200.22349797352217,None,$.05,1.039,0.035042436444200575,None,None,200.22349797352217,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Looking at your friend's Snapchat stories,social Media,2,0,30,30,4,,,,,,,,,,,,,,,,,,,,,,,,,201.32414790277835,None,$.05,1.38,0.03723727341275662,None,None,201.32414790277835,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Playing videogames 
with friends",social,1,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,202.77436223917175,None,$0,3.892,0.029469659319147468,None,None,202.77436223917175,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Painting your bedroom
a new color",nonsocial,0,0,32,32,101,,,,,,,,,,,,,,,,,,,,,,,,,206.72564911283553,None,$0,2.606,0.02837364049628377,None,None,206.72564911283553,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going on a first date 
to the movies",social,1,0,33,33,20,,,,,,,,,,,,,,,,,,,,,,,,,209.40975991776213,None,$.04,2.507,0.04734123661182821,None,None,209.40975991776213,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Playing ping-pong
with friends",social,1,0,34,34,22,,,,,,,,,,,,,,,,,,,,,,,,,211.97694503702223,None,$0,2.876,0.028716690721921623,None,None,211.97694503702223,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Trying out a new 
recipe at home",nonsocial,0,0,35,35,68,,,,,,,,,,,,,,,,,,,,,,,,,214.9111686628312,None,$.03,1.697,0.027105629909783602,None,None,214.9111686628312,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Watching a football 
game from home",nonsocial,0,0,36,36,62,,,,,,,,,,,,,,,,,,,,,,,,,216.66190118226223,None,$0,3.771,0.03570521075744182,None,None,216.66190118226223,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to an amusement 
park with a friend",social,1,0,37,37,27,,,,,,,,,,,,,,,,,,,,,,,,,220.4960987759987,None,$0,3.441,0.031315847765654325,None,None,220.4960987759987,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going for a walk 
in the park",nonsocial,0,0,38,38,64,,,,,,,,,,,,,,,,,,,,,,,,,223.99738684704062,None,$.02,1.833,0.03336201934143901,None,None,223.99738684704062,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Looking through old 
photo albums",nonsocial,0,0,39,39,106,,,,,,,,,,,,,,,,,,,,,,,,,225.89790229324717,None,$.05,2.397,0.02467379905283451,None,None,225.89790229324717,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Drawing a picture,nonsocial,0,0,40,40,70,,,,,,,,,,,,,,,,,,,,,,,,,228.33193728805054,None,$0,1.782,0.025771373067982495,None,None,228.33193728805054,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Teaching yourself a 
different language",nonsocial,0,0,41,41,66,,,,,,,,,,,,,,,,,,,,,,,,,230.1824582236586,None,$0,2.696,0.02498574776109308,None,None,230.1824582236586,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting drinks 
with co-workers",social,1,0,42,42,44,,,,,,,,,,,,,,,,,,,,,,,,,232.93312636285555,None,$.01,2.21,0.02926843229215592,None,None,232.93312636285555,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Make comments on your friend's Instagram post,social media,2,0,43,43,50,,,,,,,,,,,,,,,,,,,,,,,,,235.21718840044923,None,$.04,2.847,0.04069079051259905,None,None,235.21718840044923,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Learning to drive 
with a family member",social,1,0,44,44,46,,,,,,,,,,,,,,,,,,,,,,,,,238.1346476644976,None,$.02,2.24,0.04166458023246378,None,None,238.1346476644976,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Getting a haircut,nonsocial,0,0,45,45,91,,,,,,,,,,,,,,,,,,,,,,,,,240.41876164171845,None,$.02,1.7,0.026550467126071453,None,None,240.41876164171845,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to the beach 
alone",nonsocial,0,0,46,46,80,,,,,,,,,,,,,,,,,,,,,,,,,242.1858221681323,None,$.05,2.142,0.027617561514489353,None,None,242.1858221681323,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Trying to solve a 
Rubik’s cube",nonsocial,0,0,47,47,73,,,,,,,,,,,,,,,,,,,,,,,,,244.3865379394265,None,$0,2.505,0.03568437264766544,None,None,244.3865379394265,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Playing a videogame 
at home",nonsocial,0,0,48,48,98,,,,,,,,,,,,,,,,,,,,,,,,,246.9540760613745,None,$0,2.84,0.03004690434318036,None,None,246.9540760613745,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Reading at the library,nonsocial,0,0,49,49,78,,,,,,,,,,,,,,,,,,,,,,,,,249.8549358017044,None,$.04,2.444,0.029565141070634127,None,None,249.8549358017044,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Buying clothes 
for yourself",nonsocial,0,0,50,50,85,,,,,,,,,,,,,,,,,,,,,,,,,252.35565253708046,None,$.04,1.777,0.02691311133094132,None,None,252.35565253708046,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Working on a group
project with classmates",social,1,0,51,51,42,,,,,,,,,,,,,,,,,,,,,,,,,254.18936059239786,None,$.04,1.735,0.03807546047028154,None,None,254.18936059239786,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Watching Netflix at home 
by yourself",nonsocial,0,0,52,52,76,,,,,,,,,,,,,,,,,,,,,,,,,255.99014982557856,None,$.05,1.536,0.03470031940378249,None,None,255.99014982557856,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting a slice of pizza 
by yourself",nonsocial,0,0,53,53,72,,,,,,,,,,,,,,,,,,,,,,,,,257.59034178429283,None,$.05,1.726,0.03309330192860216,None,None,257.59034178429283,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a comedy show 
with a significant other",social,1,0,54,54,56,,,,,,,,,,,,,,,,,,,,,,,,,259.39113132853527,None,$.05,2.062,0.04109448881354183,None,None,259.39113132853527,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Uploading photos on social media,social Media,2,0,55,55,5,,,,,,,,,,,,,,,,,,,,,,,,,261.50838669063523,None,$.05,1.402,0.03295427781995386,None,None,261.50838669063523,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Talking to a friend 
over Skype",social Media,2,0,56,56,12,,,,,,,,,,,,,,,,,,,,,,,,,262.9586156447185,None,$.02,1.643,0.01556477474514395,None,None,262.9586156447185,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Listening to music
by yourself",nonsocial,0,0,57,57,109,,,,,,,,,,,,,,,,,,,,,,,,,264.6430256466847,None,$.05,1.998,0.02353330492042005,None,None,264.6430256466847,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Learning how to 
perform card tricks",nonsocial,0,0,58,58,103,,,,,,,,,,,,,,,,,,,,,,,,,266.7266596024856,None,$0,6.21,0.03932916431222111,None,None,266.7266596024856,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Getting 1 million subscribers on Youtube,social Media,2,0,59,59,23,,,,,,,,,,,,,,,,,,,,,,,,,272.9951546882512,None,$0,1.732,0.03580504667479545,None,None,272.9951546882512,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Going to the zoo with friends,social,1,0,60,60,52,,,,,,,,,,,,,,,,,,,,,,,,,274.7789609156316,None,$.02,1.719,0.02177762205246836,None,None,274.7789609156316,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going grocery shopping 
alone",nonsocial,0,0,61,61,89,,,,,,,,,,,,,,,,,,,,,,,,,276.5464627731126,None,$.05,1.534,0.024845168692991138,None,None,276.5464627731126,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Looking at your Twitter feed,social Media,2,0,62,62,48,,,,,,,,,,,,,,,,,,,,,,,,,278.1310656979913,None,$.01,2.534,0.02457427408080548,None,None,278.1310656979913,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Putting gas in a car,nonsocial,0,0,63,63,90,,,,,,,,,,,,,,,,,,,,,,,,,280.73088817030657,None,$.05,2.226,0.028434599516913295,None,None,280.73088817030657,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Playing icebreakers
with classmates",social,1,0,64,64,19,,,,,,,,,,,,,,,,,,,,,,,,,283.0147841256112,None,$.05,1.507,0.029258479713462293,None,None,283.0147841256112,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting verified on 
Instagram",social Media,2,0,65,65,47,,,,,,,,,,,,,,,,,,,,,,,,,284.5815798534313,None,$0,1.657,0.03282800561282784,None,None,284.5815798534313,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Taking an art class 
with friends",social,1,0,66,66,38,,,,,,,,,,,,,,,,,,,,,,,,,286.2987708975561,None,$.02,2.292,0.033996802172623575,None,None,286.2987708975561,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going on a hike 
by yourself",nonsocial,0,0,67,67,108,,,,,,,,,,,,,,,,,,,,,,,,,288.64966240816284,None,$.04,1.688,0.031524539343081415,None,None,288.64966240816284,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Watching the news,nonsocial,0,0,68,68,104,,,,,,,,,,,,,,,,,,,,,,,,,290.38470916775987,None,$.04,1.215,0.025123527622781694,None,None,290.38470916775987,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting breakfast
by yourself",nonsocial,0,0,69,69,84,,,,,,,,,,,,,,,,,,,,,,,,,291.66703169525135,None,$.02,1.842,0.03305007074959576,None,None,291.66703169525135,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Viedochatting your friend over Snapchat,social Media,2,0,70,70,7,,,,,,,,,,,,,,,,,,,,,,,,,293.5675947268028,None,$.02,3.922,0.030096977716311812,None,None,293.5675947268028,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Writing journal entries,nonsocial,0,0,71,71,107,,,,,,,,,,,,,,,,,,,,,,,,,297.53561019548215,None,$.02,1.455,0.024225936736911535,None,None,297.53561019548215,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Watching videos on Youtube,nonsocial,0,0,72,72,14,,,,,,,,,,,,,,,,,,,,,,,,,299.05257998313755,None,$.05,2.619,0.03388856863602996,None,None,299.05257998313755,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Sleeping over at 
a friend's house",social,1,0,73,73,26,,,,,,,,,,,,,,,,,,,,,,,,,301.7367106929887,None,$.01,2.091,0.02774103474803269,None,None,301.7367106929887,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Buying coffee on 
the way to work",nonsocial,0,0,74,74,63,,,,,,,,,,,,,,,,,,,,,,,,,303.887489491608,None,$.05,2.474,0.029456285759806633,None,None,303.887489491608,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going sight-seeing
with family",social ,1,0,75,75,24,,,,,,,,,,,,,,,,,,,,,,,,,306.421727486304,None,$.05,1.284,0.029688925365917385,None,None,306.421727486304,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Make a post on Twitter,social Media,2,0,76,76,53,,,,,,,,,,,,,,,,,,,,,,,,,307.7718106673565,None,$0,1.943,0.031697463942691684,None,None,307.7718106673565,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Doing your laundry,nonsocial,0,0,77,77,105,,,,,,,,,,,,,,,,,,,,,,,,,309.7559494947782,None,$.03,2.259,0.020045887329615653,None,None,309.7559494947782,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a music
festival with friends",social,1,0,78,78,30,,,,,,,,,,,,,,,,,,,,,,,,,312.0730811971007,None,$.05,1.671,0.0311077784281224,None,None,312.0730811971007,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Practicing an
 instrument",nonsocial,0,0,79,79,61,,,,,,,,,,,,,,,,,,,,,,,,,313.80703287094366,None,$.02,1.828,0.030994879780337214,None,None,313.80703287094366,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to the movies 
by yourself",nonsocial,0,0,80,80,77,,,,,,,,,,,,,,,,,,,,,,,,,315.6910473854514,None,$.05,1.507,0.03247655800078064,None,None,315.6910473854514,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going for a bicycle
ride alone",nonsocial,0,0,81,81,95,,,,,,,,,,,,,,,,,,,,,,,,,317.2578608409967,None,$.03,2.83,0.03155626286752522,None,None,317.2578608409967,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Getting a lot of comments on your Instagram post,social Media,2,0,82,82,41,,,,,,,,,,,,,,,,,,,,,,,,,320.15890532464255,None,$.03,2.189,0.04262966162059456,None,None,320.15890532464255,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a farmer's
market by yourself",nonsocial,0,0,83,83,83,,,,,,,,,,,,,,,,,,,,,,,,,322.40961405145936,None,$.03,2.869,0.03356449049897492,None,None,322.40961405145936,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting retweeted by 
a celebrity",social Media,2,0,84,84,29,,,,,,,,,,,,,,,,,,,,,,,,,325.34378822578583,None,$.01,4.298,0.024305867729708552,None,None,325.34378822578583,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Walking around Central 
Park with family",social,1,0,85,85,13,,,,,,,,,,,,,,,,,,,,,,,,,329.7123752788175,None,$.05,2.399,0.0460788244381547,None,None,329.7123752788175,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Calling a family member over Skype,social Media,2,0,86,86,32,,,,,,,,,,,,,,,,,,,,,,,,,332.1791452856269,None,$.01,4.619,0.03282831667456776,None,None,332.1791452856269,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Getting tagged in 
Instagram pictures",social Media,2,0,87,87,11,,,,,,,,,,,,,,,,,,,,,,,,,336.86381467455067,None,$.03,1.822,0.03167786996345967,None,None,336.86381467455067,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a street fair
with friends",social,1,0,88,88,40,,,,,,,,,,,,,,,,,,,,,,,,,338.74777538329363,None,$.05,2.02,0.032688048551790416,None,None,338.74777538329363,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Taking an online
class",nonsocial,0,0,89,89,86,,,,,,,,,,,,,,,,,,,,,,,,,340.83163824654184,None,$.05,1.248,0.029696700745262206,None,None,340.83163824654184,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Studying for a test alone,nonsocial,0,0,90,90,99,,,,,,,,,,,,,,,,,,,,,,,,,342.11524837859906,None,$.05,1.367,0.025602802634239197,None,None,342.11524837859906,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Playing volleyball
with friends",social,1,0,91,91,16,,,,,,,,,,,,,,,,,,,,,,,,,343.5489714248106,None,$0,2.127,0.02715321525465697,None,None,343.5489714248106,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
"Going to a museum 
alone",nonsocial,0,0,92,92,96,,,,,,,,,,,,,,,,,,,,,,,,,345.7164984124247,None,$.04,1.5,0.026306008803658187,None,None,345.7164984124247,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Posting Instagram stories,social Media,2,0,93,93,33,,,,,,,,,,,,,,,,,,,,,,,,,347.2835457518231,None,$.01,1.944,0.0305852722376585,None,None,347.2835457518231,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
Having a Tweet go viral,social Media,2,0,94,94,15,,,,,,,,,,,,,,,,,,,,,,,,,349.26756359415594,None,$0,2.266,0.02383903320878744,None,None,349.26756359415594,None,,,,,,,013,001,2020_Jan_31_0945,choiceText,3.1.2,59.96931845774801,
