selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,16,16,22,0,0,0,0,,,,,,,,,,,,,177.14822489963262,179.14888456164044,177.14822489963262,179.14888456164044,2,0.2763563891639933,177.14822489963262,179.14888456164044,179.16535247440333,None,181.1493535716727,183.1499348579964,181.1493535716727,182.14961700106505,182.16631848580437,183.1499348579964,183.1666562476894,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,16,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,17,17,0,0,0,0,0,,,,,,,,,,,,,185.15060042927507,187.15109089930775,185.15060042927507,187.15109089930775,2,0.2979212094214745,185.15060042927507,187.15109089930775,187.16779145100736,None,189.15176424593665,191.15225409396226,189.15176424593665,190.15198910952313,190.16881220098003,191.15225409396226,191.16906070164987,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,18,18,7,0,0,0,0,,,,,,,,,,,,,193.15295512089506,195.15340795819066,193.15295512089506,195.15340795819066,1,0.37529231485677883,193.15295512089506,195.15340795819066,195.17021425484563,None,197.15406730916584,199.15455715719145,197.15406730916584,198.15436277305707,198.17114605463576,199.15455715719145,199.17129378658137,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,18,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,19,19,23,0,0,0,0,,,,,,,,,,,,,201.15526440439862,203.1557215958892,201.15526440439862,203.1557215958892,1,0.3489058350387495,201.15526440439862,203.1557215958892,203.17256801345502,None,205.17296144695138,207.1569270885375,205.17296144695138,206.1567364365619,206.17340308768325,207.1569270885375,207.17358627531212,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,19,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,20,20,4,0,0,0,0,,,,,,,,,,,,,209.15755564905703,211.15810023565427,209.15755564905703,211.15810023565427,2,0.33847222779877484,209.15755564905703,211.15810023565427,211.17500854513492,None,213.1587101353216,215.15944319675327,213.1587101353216,214.1590578496398,214.1757176584506,215.15944319675327,215.17608900988125,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,20,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,21,21,19,0,0,0,0,,,,,,,,,,,,,217.159887947666,219.16062567432527,217.159887947666,219.16062567432527,2,0.47193512981175445,217.159887947666,219.16062567432527,219.1770460018597,None,221.1628727549105,223.1616156338423,221.1628727549105,222.16135718068108,222.17803720544907,223.1616156338423,223.178258025815,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,21,21,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,22,22,24,0,0,0,0,,,,,,,,,,,,,225.16220531755243,227.16271258238703,225.16220531755243,227.16271258238703,2,0.40535965262097307,225.16220531755243,227.16271258238703,227.179375812324,None,229.16343600235996,231.16397467968636,229.16343600235996,230.16358124619,230.18024820831488,231.16397467968636,231.18046622956172,None,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
1,0,22,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,23,23,15,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,233.16446266160347,235.1652367769857,233.16446266160347,235.1652367769857,1,0.3549217907129787,233.16446266160347,235.1652367769857,235.1817463657062,None,237.16572351485956,239.16626872346387,237.16572351485956,238.16605661151698,238.18272232956951,239.16626872346387,239.18309057087754,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,23,23,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,24,24,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,241.16683756920975,243.16749163292116,241.16683756920975,243.16749163292116,1,0.368499755684752,241.16683756920975,243.16749163292116,243.18403418920934,None,245.16807789547602,247.1684899898537,245.16807789547602,246.16824335526326,246.1850372113404,247.1684899898537,247.1853628436511,None,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
2,0,24,24,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.1690886929573,None,space,12.237710335291922,249.1690886929573,None,015,001,2020_Feb_07_0946,Experiment1,3.1.2,59.83357866192902,
