selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
2,0,13,13,17,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,137.2507594270187,139.24939530419533,137.2507594270187,139.24939530419533,2,0.4638145116418855,137.2507594270187,139.24939530419533,139.2660677091351,None,141.26662878473326,143.25057468261434,141.26662878473326,142.25028792446506,142.2669659277201,143.25057468261434,143.2672604613074,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,13,13,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,14,14,22,0,0,0,0,,,,,,,,,,,,,145.25211484135139,147.25175965934864,145.25211484135139,147.25175965934864,2,0.32630931376161243,145.25211484135139,147.25175965934864,147.2684557016198,None,149.26903481623367,151.25297045053685,149.26903481623367,150.25261495751647,150.26936511683516,151.25297045053685,151.2696661817904,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,14,14,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,15,15,13,0,0,0,0,,,,,,,,,,,,,153.2555114636391,155.25416880102443,153.2555114636391,155.25416880102443,2,0.46675549326914734,153.2555114636391,155.25416880102443,155.27085178055972,None,157.27143587145406,159.25536995066955,157.27143587145406,158.2549995288084,158.27177799072092,159.25536995066955,159.27208683111417,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,16,16,16,0,0,0,0,,,,,,,,,,,,,161.25780957206166,163.25659380459342,161.25780957206166,163.25659380459342,1,0.41641171005812794,161.25780957206166,163.25659380459342,163.2732826934614,None,165.2738387927791,167.25768081081037,165.2738387927791,166.25755422668158,166.27420112818504,167.25768081081037,167.27432988943633,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,17,17,5,0,0,0,0,,,,,,,,,,,,,169.2601493568311,171.25898304114776,169.2601493568311,171.25898304114776,2,0.5339303003529494,169.2601493568311,171.25898304114776,171.2756688198408,None,173.276230517474,175.26019134419607,173.276230517474,174.2598258986152,174.27657356979375,175.26019134419607,175.27687556780143,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,17,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,18,18,21,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,177.2774391315395,179.26139000570106,177.2774391315395,179.26139000570106,2,1.3725597954503428,177.2774391315395,179.26139000570106,179.27807111913103,None,181.27865676511306,183.2625877341536,181.27865676511306,182.26230253109156,182.27898893181987,183.2625877341536,183.2792750679339,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,18,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,19,19,0,0,0,0,0,,,,,,,,,,,,,185.26388592126318,187.2637885727811,185.26388592126318,187.2637885727811,2,1.2580372368829558,185.26388592126318,187.2637885727811,187.2804734184217,None,189.28104973387804,191.26499252158396,189.28104973387804,190.2645959742515,190.2813840777069,191.26499252158396,191.28169322911776,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,20,20,4,0,0,0,0,,,,,,,,,,,,,193.2672215841178,195.26620860006983,193.2672215841178,195.26620860006983,1,0.790613366973048,193.2672215841178,195.26620860006983,195.28288100500936,None,197.28345265520306,199.26739793104912,197.28345265520306,198.26706016602725,198.2837307048619,199.26739793104912,199.28407313514685,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,20,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,21,21,23,0,0,0,0,,,,,,,,,,,,,201.26959526979658,203.26860343493968,201.26959526979658,203.26860343493968,2,0.5001223853923875,201.26959526979658,203.26860343493968,203.28524193897033,None,205.26879004544912,207.26980956086504,205.26879004544912,206.26958314011358,206.28617685762197,207.26980956086504,207.28643624622987,None,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
1,0,21,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,22,22,3,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,209.27192416895355,211.27100480117747,209.27192416895355,211.27100480117747,2,0.4897244478115681,209.27192416895355,211.27100480117747,211.28765667896118,None,213.28825911988883,215.27220750591027,213.28825911988883,214.27192168081342,214.2885891094727,215.27220750591027,215.28885658453623,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,22,22,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,23,23,10,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,217.2742875910542,219.27341611997576,217.2742875910542,219.27341611997576,2,0.3752444986444061,217.2742875910542,219.27341611997576,219.29006302147923,None,221.29066452935444,223.27459954162236,221.29066452935444,222.2743130944907,222.29099203079818,223.27459954162236,223.2912675923169,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,23,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,24,24,18,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,225.29188589513774,227.27581748621355,225.29188589513774,227.27581748621355,2,0.5095732746381145,225.29188589513774,227.27581748621355,227.29248958013545,None,229.29307056085486,231.27702858841917,229.29307056085486,230.27670855139536,230.29338251142303,231.27702858841917,231.293682954343,None,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
2,0,24,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2020_Jan_07_1233,Experiment1,3.1.2,59.9789017729453,
