selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.rt,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response2.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,15,15,5,0,0,0,0,,,,,,,,,,,,,166.8707511640573,168.8714008776269,166.8707511640573,168.8714008776269,2,166.8707511640573,168.8714008776269,168.8879932994596,None,170.8724844592807,172.87266484887869,170.8724844592807,171.87217717493104,171.88907936924625,172.87266484887869,172.88946254163375,None,,,,,,,,,,,,,,,,,,,1.003748682456262,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,15,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,16,16,16,0,0,0,0,,,,,,,,,,,,,174.873303676869,176.87370488821625,174.873303676869,176.87370488821625,1,174.873303676869,176.87370488821625,176.8904879631932,None,178.8744376432037,180.87500555942097,178.8744376432037,179.8747446165371,179.89131402314524,180.87500555942097,180.89167044810983,None,,,,,,,,,,,,,,,,,,,0.28096955054706996,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,17,17,0,0,0,0,0,,,,,,,,,,,,,182.87552806722215,184.87607172414846,182.87552806722215,184.87607172414846,1,182.87552806722215,184.87607172414846,184.89286195250634,None,186.87679701473917,188.87722093029424,186.87679701473917,187.87695843232768,187.89368117009417,188.87722093029424,188.89401053661868,None,,,,,,,,,,,,,,,,,,,0.27084129665308865,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,17,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,18,18,18,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,190.87801091232677,192.87851755828387,190.87801091232677,192.87851755828387,2,0.3239405299036662,190.87801091232677,192.87851755828387,192.8953146290055,None,194.87914425662848,196.8797000432005,194.87914425662848,195.879431013886,195.89601379420628,196.8797000432005,196.89640660810664,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,19,19,13,0,0,0,0,,,,,,,,,,,,,198.88034913473666,200.88091331875512,198.88034913473666,200.88091331875512,2,198.88034913473666,200.88091331875512,200.89750418550557,None,202.881550902679,204.88205879270254,202.881550902679,203.88181588877842,203.89850037150927,204.88205879270254,204.89874203136742,None,,,,,,,,,,,,,,,,,,,0.9854848576924269,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,19,19,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,20,20,9,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,206.8827859493922,208.88330161482918,206.8827859493922,208.88330161482918,1,0.30323771336907157,206.8827859493922,208.88330161482918,208.90003026191016,None,210.88390063270117,212.88446108452126,210.88390063270117,211.8841463357744,211.90077048129524,212.88446108452126,212.90125193491212,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,20,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,21,21,23,0,0,0,0,,,,,,,,,,,,,214.88509929047814,216.88564170333848,214.88509929047814,216.88564170333848,2,214.88509929047814,216.88564170333848,216.90238279108144,None,218.88627804319594,220.88683382976797,218.88627804319594,219.8866046105718,219.90326234587974,220.88683382976797,220.90350711590327,None,,,,,,,,,,,,,,,,,,,0.868492250867348,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,21,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,22,22,6,0,0,0,0,,,,,,,,,,,,,222.88755445511015,224.88800978333666,222.88755445511015,224.88800978333666,2,222.88755445511015,224.88800978333666,224.90468244743897,None,226.88864767827727,228.88920315383257,226.88864767827727,227.88894189993198,227.90552841245062,228.88920315383257,228.9058717747198,None,,,,,,,,,,,,,,,,,,,0.6980007545262197,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,22,22,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,23,23,11,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,230.8898587767162,232.89051408858313,230.8898587767162,232.89051408858313,1,0.26347144852570636,230.8898587767162,232.89051408858313,232.907148808667,None,234.89109693359478,236.89172705312149,234.89109693359478,235.89129131893742,235.90809398795682,236.89172705312149,236.90845321207007,None,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
2,0,23,23,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,24,24,19,0,0,0,0,,,,,,,,,,,,,238.89221721520153,240.89276553737636,238.89221721520153,240.89276553737636,2,238.89221721520153,240.89276553737636,240.9095116013841,None,242.91014514209292,244.89394397907745,242.91014514209292,243.89365006843946,243.9105280034637,244.89394397907745,244.91063499315624,None,,,,,,,,,,,,,,,,,,,0.6371326389162277,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
1,0,24,24,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.894774704278,None,space,11.114118502903239,246.894774704278,None,017,001,2020_Feb_21_1054,Experiment1,3.1.2,59.99363727623902,
