choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Getting a lot of comments on your Instagram post,0,15,15,41,,,,,,,,,,,,,,,,,,,,,,,,,129.4359744007702,None,$0,2.678,0.02627973599555844,None,None,129.4359744007702,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Running a marathon,0,16,16,93,,,,,,,,,,,,,,,,,,,,,,,,,132.15377825633004,None,$0,3.969,0.023421174010309187,None,None,132.15377825633004,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Playing a videogame 
at home",0,17,17,98,,,,,,,,,,,,,,,,,,,,,,,,,136.188212249549,None,$.03,2.435,0.03506504775850772,None,None,136.188212249549,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Watching the news,0,18,18,104,,,,,,,,,,,,,,,,,,,,,,,,,138.67230230404857,None,$.02,2.409,0.01843929544565981,None,None,138.67230230404857,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Viewing videos and photos on Instagram's Explore page,0,19,19,39,,,,,,,,,,,,,,,,,,,,,,,,,141.14141624313834,None,$0,4.497,0.037588643879644223,None,None,141.14141624313834,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going to a karaoke
bar with friends",0,20,20,43,,,,,,,,,,,,,,,,,,,,,,,,,145.69336938648348,None,$0,4.667,0.02541790646046138,None,None,145.69336938648348,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Getting a slice of pizza 
by yourself",0,21,21,72,,,,,,,,,,,,,,,,,,,,,,,,,150.42562435988702,None,$.01,3.221,0.029719589718297357,None,None,150.42562435988702,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Going for a walk 
in the park",0,22,22,64,,,,,,,,,,,,,,,,,,,,,,,,,153.69323160572412,None,$.01,3.117,0.01501405954695656,None,None,153.69323160572412,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Taking your friend 
on a cruise",0,23,23,6,,,,,,,,,,,,,,,,,,,,,,,,,156.87744168188328,None,$.02,4.237,0.03973715287702362,None,None,156.87744168188328,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Having a Tweet go viral,0,24,24,15,,,,,,,,,,,,,,,,,,,,,,,,,161.16424990506175,None,$0,3.31,0.03110112952253985,None,None,161.16424990506175,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Getting tagged in 
Instagram pictures",0,25,25,11,,,,,,,,,,,,,,,,,,,,,,,,,164.52979936571091,None,$0,2.325,0.01574246256859624,None,None,164.52979936571091,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Having hundreds of friends on Facebook,0,26,26,59,,,,,,,,,,,,,,,,,,,,,,,,,166.91386214397426,None,$0,1.907,0.028454681482344313,None,None,166.91386214397426,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Rearranging furniture 
in your house",0,27,27,100,,,,,,,,,,,,,,,,,,,,,,,,,168.8644374175219,None,$.01,2.922,0.016883274815427285,None,None,168.8644374175219,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Planting flowers 
in a garden",0,28,28,67,,,,,,,,,,,,,,,,,,,,,,,,,171.81567484736024,None,$0,2.248,0.013237216480320058,None,None,171.81567484736024,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Looking at your friend's Snapchat stories,0,29,29,4,,,,,,,,,,,,,,,,,,,,,,,,,174.13269748912444,None,$0,3.002,0.03680021447780746,None,None,174.13269748912444,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Practicing photography,0,30,30,65,,,,,,,,,,,,,,,,,,,,,,,,,177.18390310187078,None,$0,2.815,0.027163958792698395,None,None,177.18390310187078,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
Taking classes with a friend,0,31,31,25,,,,,,,,,,,,,,,,,,,,,,,,,180.06795452799497,None,$.01,14.88,0.025513077820050967,None,None,180.06795452799497,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
"Painting your bedroom
a new color",0,32,32,101,,,,,,,,,,,,,,,,,,,,,,,,,194.98893524086589,None,$0,2.677,0.016217697332194803,None,None,194.98893524086589,None,,,,,,,012,001,2020_Jan_11_1158,choiceText,3.1.2,60.0741572528969,
