selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,response3.rt,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,12,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,13,13,10,,,,,0,0,0,0,,,,,,,,,148.8527022349199,150.85116177953842,148.8527022349199,150.85116177953842,2,148.8527022349199,150.85116177953842,150.86783185181503,None,152.86837426130114,154.85227303475313,152.86837426130114,153.8519641972416,153.8687005156312,154.85227303475313,154.86899504647,None,,,,,,,,,,,,,,,,,,,0.305528004844291,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,13,13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,14,14,13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.8539630881637,158.85341041519496,156.8539630881637,158.85341041519496,2,0.2562001540768506,156.8539630881637,158.85341041519496,158.87016259532993,None,160.87083563095348,162.85465291857645,160.87083563095348,161.854235536965,161.8709158727238,162.85465291857645,162.87134071868604,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,14,14,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,15,15,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.85728970047103,166.85581144801245,164.85728970047103,166.85581144801245,2,0.27662945998827126,164.85728970047103,166.85581144801245,166.87249738203445,None,168.87303979152057,170.85695504874684,168.87303979152057,169.85660329121856,169.87326278899855,170.85695504874684,170.8736543563973,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,15,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,16,16,17,,,,,0,0,0,0,,,,,,,,,172.85953864714247,174.85807843353132,172.85953864714247,174.85807843353132,2,172.85953864714247,174.85807843353132,174.87482035018365,None,176.87536866894743,178.8592904574807,176.87536866894743,177.85901894172275,177.87567657341515,178.8592904574807,178.87596923816636,None,,,,,,,,,,,,,,,,,,,0.5462691775501298,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,16,16,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,17,17,20,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.8608047876346,182.86045676228196,180.8608047876346,182.86045676228196,1,0.3367237036363804,180.8608047876346,182.86045676228196,182.87714642847914,None,184.8776975463743,186.86161902389313,184.8776975463743,185.86121377185145,185.87800700591515,186.86161902389313,186.8783096231341,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,17,17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,18,18,14,,,,,0,0,0,0,,,,,,,,,188.8641068297875,190.86278532869392,188.8641068297875,190.86278532869392,1,188.8641068297875,190.86278532869392,190.8794501137222,None,192.88002362466978,194.86397060538684,192.88002362466978,193.86366892121168,193.88033743841515,194.86397060538684,194.88063974461966,None,,,,,,,,,,,,,,,,,,,0.3253122664473267,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,18,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,19,19,1,,,,,0,0,0,0,,,,,,,,,196.86539225318575,198.86512602467656,196.86539225318575,198.86512602467656,1,196.86539225318575,198.86512602467656,198.88178801057302,None,200.88236152152058,202.8662932625216,200.88236152152058,201.8660024638575,201.88266382772508,202.8662932625216,202.88296364581265,None,,,,,,,,,,,,,,,,,,,0.4278363677476591,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,19,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,20,20,15,,,,,0,0,0,0,,,,,,,,,204.86869678345556,206.86744650470882,204.86869678345556,206.86744650470882,1,204.86869678345556,206.86744650470882,206.88411844307302,None,208.88468728880162,210.8686059671886,208.88468728880162,209.8682983737358,209.88500016950275,210.8686059671886,210.88530154266346,None,,,,,,,,,,,,,,,,,,,0.752279037335029,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
2,0,20,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,21,21,12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.86994426307092,214.86977040590182,212.86994426307092,214.86977040590182,1,0.2868192317755529,212.86994426307092,214.86977040590182,214.88646318224528,None,216.88700621376074,218.8709447970832,216.88700621376074,217.87055727287452,217.887344908675,218.8709447970832,218.88761611341806,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,21,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,22,22,7,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.87322608927434,222.87209337405147,220.87322608927434,222.87209337405147,1,0.3474798330348676,220.87322608927434,222.87209337405147,222.88875007269962,None,224.88933913437768,226.8732686982762,224.88933913437768,225.87284696246024,225.88952076691203,226.8732686982762,226.8899278850413,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,22,22,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,23,23,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.87548374435437,230.87442567263906,228.87548374435437,230.87442567263906,1,0.31307228632749684,228.87548374435437,230.87442567263906,230.89108174925786,None,232.89166085846864,234.87559415454234,232.89166085846864,233.87521440569935,233.89187328145,234.87559415454234,234.8922567624686,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,23,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,24,24,24,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.8777715678525,238.87674646368578,236.8777715678525,238.87674646368578,1,0.5905682330298987,236.8777715678525,238.87674646368578,238.89337517101922,None,240.89399782227565,242.87791307950192,240.89399782227565,241.8775295984833,241.89431972240072,242.87791307950192,242.89458439583677,None,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
1,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.87850991654523,None,space,22.397259588036377,244.87850991654523,None,014,001,2020_Feb_04_1230,Experiment1,3.1.2,59.9739793662812,
