choices,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Buying flowers for 
a significant other",0,9,9,5,,,,,,,23.35231864801608,None,$0.80,0.412,0.049174586980370805,None,None,23.35231864801608,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a karaoke
bar with friends",0,10,10,43,,,,,,,23.82140689701191,None,$1.00,0.434,0.04489371500676498,None,None,23.82140689701191,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a music
festival with friends",0,11,11,30,,,,,,,24.333674082008656,None,$0.60,0.431,0.04536546301096678,None,None,24.333674082008656,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Taking a family member
 on a shopping trip",0,12,12,0,,,,,,,24.820207389013376,None,$0.60,0.918,0.045052889006910846,None,None,24.820207389013376,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Watching friends'
Snapchat stories",0,13,13,23,,,,,,,25.8169325380004,None,$0.20,0.529,0.04870018598739989,None,None,25.8169325380004,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Planning a surprise 
party for a family member",0,14,14,4,,,,,,,26.41735912702279,None,$0.40,0.56,0.050346924021141604,None,None,26.41735912702279,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Talking over the phone
with a significant other",0,15,15,7,,,,,,,27.037015721027274,None,$0.80,0.482,0.04430832000798546,None,None,27.037015721027274,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Baking a cake for a 
family memberís birthday",0,16,16,2,,,,,,,27.59961230502813,None,$0.60,0.511,0.049786098999902606,None,None,27.59961230502813,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Baking cookies for
a neighbor",0,17,17,36,,,,,,,28.16887943801703,None,$0.40,0.469,0.04415487399091944,None,None,28.16887943801703,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a parade 
with family",0,18,18,28,,,,,,,28.700349710008595,None,$1.00,0.554,0.04382091498700902,None,None,28.700349710008595,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting tagged in 
Instagram pictures",0,19,19,11,,,,,,,29.317454501026077,None,$0.20,0.554,0.04342059200280346,None,None,29.317454501026077,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Playing ping-pong
with friends",0,20,20,22,,,,,,,29.9357529990084,None,$0,0.52,0.04304353898623958,None,None,29.9357529990084,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Walking around Central 
Park with family",0,21,21,13,,,,,,,30.535188193025533,None,$0.40,0.531,0.044348085997626185,None,None,30.535188193025533,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Taking an art class 
with friends",0,22,22,38,,,,,,,31.13459918202716,None,$0.60,0.466,0.046928724012104794,None,None,31.13459918202716,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a flea market
with family",0,23,23,41,,,,,,,31.652255893015536,None,$0.40,0.47,0.043939936003880575,None,None,31.652255893015536,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting a slice of 
pizza with a friend",0,24,24,10,,,,,,,32.20336815400515,None,$0.40,0.598,0.046088392002275214,None,None,32.20336815400515,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a street fair
with friends",0,25,25,40,,,,,,,32.851730467024026,None,$0.40,0.768,0.04351995899924077,None,None,32.851730467024026,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Taking your friend 
on a cruise",0,26,26,6,,,,,,,33.68424016100471,None,$0.40,0.605,0.042560607980703935,None,None,33.68424016100471,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going sight-seeing
with family",0,27,27,24,,,,,,,34.351516149006784,None,$0.40,0.722,0.04068724098033272,None,None,34.351516149006784,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going dancing with
a significant other",0,28,28,21,,,,,,,35.15209805601626,None,$0.40,0.847,0.04845562798436731,None,None,35.15209805601626,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going on a weekend
getaway with family",0,29,29,18,,,,,,,36.052926897013094,None,$0.40,0.55,0.04494603499188088,None,None,36.052926897013094,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Sleeping over at 
a friend's house",0,30,30,26,,,,,,,36.68545206502313,None,$0.40,0.499,0.04535505798412487,None,None,36.68545206502313,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting likes on a 
Facebook status",0,31,31,45,,,,,,,37.23551448402577,None,$0.40,0.468,0.04444660499575548,None,None,37.23551448402577,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Making a friendís 
favorite dinner",0,32,32,3,,,,,,,37.784526977018686,None,$0.40,0.962,0.04836997902020812,None,None,37.784526977018686,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Playing volleyball
with friends",0,33,33,16,,,,,,,38.80106003000401,None,$0.40,0.537,0.04302515898598358,None,None,38.80106003000401,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
Having a Tweet go viral,0,34,34,15,,,,,,,39.419830485014245,None,$0.40,0.534,0.046442350023426116,None,None,39.419830485014245,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Talking to a friend 
over Skype",0,35,35,12,,,,,,,40.01991189000546,None,$0.40,0.468,0.0449499330134131,None,None,40.01991189000546,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
Posting Instagram stories,0,36,36,33,,,,,,,40.55143232102273,None,$0.40,0.555,0.04074508399935439,None,None,40.55143232102273,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Making cookies to 
give to a friend",0,37,37,8,,,,,,,41.18486911299988,None,$0.40,0.434,0.04391931899590418,None,None,41.18486911299988,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Playing videogames 
with friends",0,38,38,31,,,,,,,41.66981649000081,None,$0.40,0.535,0.04378258698852733,None,None,41.66981649000081,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a comedy show 
with a significant other",0,39,39,48,,,,,,,42.28519895201316,None,$0.40,0.513,0.04663435701513663,None,None,42.28519895201316,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Eating dinner at a 
restaurant with family",0,40,40,39,,,,,,,42.88945674902061,None,$0.40,0.416,0.05969636401277967,None,None,42.88945674902061,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a bar 
with friends",0,41,41,35,,,,,,,43.385264278011164,None,$0.40,0.455,0.04308206497807987,None,None,43.385264278011164,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
Taking classes with a friend,0,42,42,25,,,,,,,43.90324581702589,None,$0.40,0.451,0.04420427998411469,None,None,43.90324581702589,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Working on a group
project with classmates",0,43,43,42,,,,,,,44.434240474016406,None,$0.40,0.465,0.04583760199602693,None,None,44.434240474016406,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Playing icebreakers
with classmates",0,44,44,19,,,,,,,44.9551157450187,None,$0.40,0.502,0.04332840800634585,None,None,44.9551157450187,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Eating dinner at a
restaurant with friends ",0,45,45,14,,,,,,,45.535273444023915,None,$0.40,0.432,0.04653863099520095,None,None,45.535273444023915,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
Going on a blind date,0,46,46,34,,,,,,,46.01675025501754,None,$0.40,0.511,0.03858559898799285,None,None,46.01675025501754,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting retweeted by 
a celebrity",0,47,47,29,,,,,,,46.605870472005336,None,$0.40,0.433,0.047432321996893734,None,None,46.605870472005336,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Going to a coffee 
shop with friends",0,48,48,9,,,,,,,47.103517318028025,None,$0.40,0.454,0.04355230598594062,None,None,47.103517318028025,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
"Getting verified on 
Instagram",0,49,49,47,,,,,,,47.61965766202775,None,$0.40,0.555,0.043275920004816726,None,None,47.61965766202775,None,,,,,,,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
,,,,,,,,,,,,,,,,,,,,48.219895724003436,49.18826490602805,space,1.3771338060032576,48.219895724003436,None,999,001,2019_Sep_30_0932,choiceText,3.1.5,59.72036559120774,
