choices,Type,typeCode,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_3.started,text_3.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Instructions.started,Instructions.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,key_resp_5.keys,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text.started,text.stopped,rating.response,rating.rt,rating.started,rating.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
"Taking your friend 
on a cruise",social,1,0,66,66,6,,,,,,,,,,,,,,,,,,,,,,,,,295.23105959879695,None,$.04,3.605,0.03691494652275651,None,None,295.23105959879695,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Trying to solve a 
Rubik’s cube",nonsocial,0,0,67,67,73,,,,,,,,,,,,,,,,,,,,,,,,,298.8988191708163,None,$.04,2.1,0.03560713007209415,None,None,298.8988191708163,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Working on a group
project with classmates",social,1,0,68,68,42,,,,,,,,,,,,,,,,,,,,,,,,,301.0660651022008,None,$.04,2.47,0.03091858477137066,None,None,301.0660651022008,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Snapchatting your friends,social Media,2,0,69,69,2,,,,,,,,,,,,,,,,,,,,,,,,,303.58365624425596,None,$0,1.883,0.02233302636204826,None,None,303.58365624425596,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Posting Instagram stories,social Media,2,0,70,70,33,,,,,,,,,,,,,,,,,,,,,,,,,305.53417444125444,None,$0,1.763,0.028188187478463078,None,None,305.53417444125444,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Watching a football 
game from home",nonsocial,0,0,71,71,62,,,,,,,,,,,,,,,,,,,,,,,,,307.3512250710123,None,$.01,2.151,0.038071609870712564,None,None,307.3512250710123,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Direct messaging your crush on Snapchat,social Media,2,0,72,72,54,,,,,,,,,,,,,,,,,,,,,,,,,309.56875708918915,None,$.01,3.97,0.03722627215074681,None,None,309.56875708918915,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Getting 1 million subscribers on Youtube,social Media,2,0,73,73,23,,,,,,,,,,,,,,,,,,,,,,,,,313.6031257590698,None,$0,1.937,0.03376467950101869,None,None,313.6031257590698,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Talking to a friend 
over Skype",social Media,2,0,74,74,12,,,,,,,,,,,,,,,,,,,,,,,,,315.6036121859256,None,$.04,4.274,0.03470238856107244,None,None,315.6036121859256,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
"Getting ice cream
with friends",social,1,0,75,75,49,,,,,,,,,,,,,,,,,,,,,,,,,319.9214433068564,None,$.04,1.746,0.015679490732054546,None,None,319.9214433068564,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
Viedochatting your friend over Snapchat,social Media,2,0,76,76,7,,,,,,,,,,,,,,,,,,,,,,,,,321.72204561775743,None,$0,2.799,0.03883950495173849,None,None,321.72204561775743,None,014,001,2020_Feb_04_1235,choiceText,3.1.2,59.980132746779276,
