selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,Welcome.started,Welcome.stopped,response1.keys,response1.rt,response1.started,response1.stopped,firstTrialITI.started,firstTrialITI.stopped,rectangle.started,rectangle.stopped,text1.started,text1.stopped,response3.keys,response3.started,response3.stopped,ISI2.started,ISI2.stopped,rectangle2_2.started,rectangle2_2.stopped,feedback2_2.started,feedback2_2.stopped,arrow2_2.started,arrow2_2.stopped,ITI2_2.started,ITI2_2.stopped,response3.rt,polygon.started,polygon.stopped,text.started,text.stopped,response2.keys,response2.rt,response2.started,response2.stopped,ISI.started,ISI.stopped,polygon2_2.started,polygon2_2.stopped,feedback1_2.started,feedback1_2.stopped,arrow1_2.started,arrow1_2.stopped,ITI_2.started,ITI_2.stopped,Finished.started,Finished.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,0,18,18,22,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.79190506225996,193.79242010870712,191.79190506225996,193.79242010870712,2,0.3514321152606499,191.79190506225996,193.79242010870712,193.80907327717614,None,195.79321507170243,197.7935447511918,195.79321507170243,196.79343744984817,196.80992422348027,197.7935447511918,197.81028593786368,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,18,18,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,19,19,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.79412106826112,201.79522704964256,199.79412106826112,201.79522704964256,2,1.0290534715250033,199.79412106826112,201.79522704964256,201.81158661675454,None,203.79561022429425,205.79615606156176,203.79561022429425,204.79577879625958,204.8123868670623,205.79615606156176,205.8126770472163,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,19,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,20,20,23,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.79666022236597,209.79728941256099,207.79666022236597,209.79728941256099,2,0.37858339833610444,207.79666022236597,209.79728941256099,209.81401069405638,None,211.79779139623633,213.7983773548758,211.79779139623633,212.79835216238644,212.814795704463,213.7983773548758,213.8151443560737,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,20,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,21,21,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.79911820067173,217.79973495013155,215.79911820067173,217.79973495013155,2,0.5839133826234502,215.79911820067173,217.79973495013155,217.81635359555912,None,219.80024719741323,221.80085897057916,219.80024719741323,220.80068822148496,220.8173423230087,221.80085897057916,221.81755972486098,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,21,21,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,22,22,8,,,,,0,0,0,0,,,,,,,,,223.80149313706852,225.80204177350151,223.80149313706852,225.80204177350151,2,223.80149313706852,225.80204177350151,225.8187359963972,None,227.8026778061012,229.80339034922417,227.8026778061012,228.80301930428914,228.81973094421437,229.80339034922417,229.82019591670178,None,0.6775358262079862,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
2,0,22,22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,23,23,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,231.80401642923516,233.80459803361737,231.80401642923516,233.80459803361737,1,0.6669204576701304,231.80401642923516,233.80459803361737,233.82129412262339,None,235.80528165203032,237.80582375707718,235.80528165203032,236.80557711949723,236.8222004302006,237.80582375707718,237.82249372053866,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,23,23,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,24,24,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.8062647811489,241.80697234797753,239.8062647811489,241.80697234797753,1,0.8486096234064462,239.8062647811489,241.80697234797753,241.82367901160842,None,243.8242242268393,245.80820740198897,243.8242242268393,244.80792406423916,244.82456634706432,245.80820740198897,245.82485030685075,None,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
1,0,24,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.8087834080402,None,space,11.797840848159467,247.8087834080402,None,016,001,2020_Feb_14_1007,Experiment1,3.1.2,59.95860093540189,
