selectBlock,alltrials.thisRepN,alltrials.thisTrialN,alltrials.thisN,alltrials.thisIndex,Reward.thisRepN,Reward.thisTrialN,Reward.thisN,Reward.thisIndex,Loss.thisRepN,Loss.thisTrialN,Loss.thisN,Loss.thisIndex,response1.keys,response1.rt,response2.keys,response3.keys,response2.rt,response3.rt,date,frameRate,expName,session,participant,
1,0,7,7,20,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,8,8,14,,,,,0,0,0,0,,,,None,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,8,8,14,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,9,9,4,0,0,0,0,,,,,,,None,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,9,9,4,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,10,10,2,0,0,0,0,,,,,,,1,,1.51793175936,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,10,10,2,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,11,11,10,,,,,0,0,0,0,,,,2,,0.917633121833,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,11,11,10,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,12,12,15,,,,,0,0,0,0,,,,2,,0.35104297474,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,12,12,15,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,13,13,17,,,,,0,0,0,0,,,,2,,0.667516568676,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,13,13,17,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,14,14,11,,,,,0,0,0,0,,,,1,,0.467304020189,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,14,14,11,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,15,15,3,,,,,0,0,0,0,,,,None,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,15,15,3,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,16,16,1,,,,,0,0,0,0,,,,2,,0.317528246902,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,16,16,1,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,17,17,16,0,0,0,0,,,,,,,2,,0.717349040322,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,17,17,16,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,18,18,18,,,,,0,0,0,0,,,,1,,0.367700036615,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,18,18,18,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,19,19,24,0,0,0,0,,,,,,,1,,0.584327987395,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,19,19,24,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,20,20,6,0,0,0,0,,,,,,,2,,0.317177421413,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,20,20,6,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,21,21,22,0,0,0,0,,,,,,,1,,0.383831170388,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,21,21,22,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,22,22,21,,,,,0,0,0,0,,,,2,,0.550675478764,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
2,0,22,22,21,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,23,23,0,0,0,0,0,,,,,,,2,,0.884018869139,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,23,23,0,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,24,24,5,0,0,0,0,,,,,,,1,,0.75054062251,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
1,0,24,24,5,,,,,,,,,,,,,,,2018_Dec_07_1046,59.8575641692,Experiment1,001,exc14,
